codigo,nome,marca,linha,faixa_etaria,dimensoes,pagina_catalogo,revisar
7171,Display Robô-Blocks serviço 3 unidade de cada.,playmi,Play&Drive,,,141,SIM
7172 - A,ROBÔ-BLOCKS SERVIÇO VARREDOR - 46 PEÇAS 6 displays (18 unidades) +3 anos,playmi,Play&Drive,,110A x 140C x 40L,141,SIM
7173 - B,ROBÔ-BLOCKS SERVIÇO DELIVERY - 45 PEÇAS 6 displays (18 unidades) +3 anos,playmi,Play&Drive,,110A x 140C x 40L,141,SIM
7174 - C,ROBÔ-BLOCKS SERVIÇO CAMINHÃO PIPA - 45 PEÇAS 6 displays (18 unidades) +3 anos,playmi,Play&Drive,,110A x 140C x 40L,141,SIM
7175 - D,ROBÔ-BLOCKS SERVIÇO AMBULÂNCIA - 47 PEÇAS 6 displays (18 unidades) +3 anos,playmi,Play&Drive,,110A x 140C x 40L,141,SIM
7176,Display Robô-Blocks corrida 3 unidade de cada.,playmi,Play&Drive,,,142,SIM
7177 - A,ROBÔ-BLOCKS CORRIDA F-CAR - 53 PEÇAS 6 displays (18 unidades) +3 anos,playmi,Play&Drive,,110A x 140C x 40L,142,SIM
7178 - B,ROBÔ-BLOCKS CORRIDA F-ROAD - 59 PEÇAS 6 displays (18 unidades) +3 anos,playmi,Play&Drive,,110A x 140C x 40L,142,SIM
7179 - C,ROBÔ-BLOCKS CORRIDA F-QUADRI - 42 PEÇAS 6 displays (18 unidades) +3 anos,playmi,Play&Drive,,110A x 140C x 40L,142,SIM
7180 - D,ROBÔ-BLOCKS CORRIDA F-RUN - 65 PEÇAS 6 displays (18 unidades) +3 anos,playmi,Play&Drive,,110A x 140C x 40L,142,SIM
1046,JEEP RALLY (NA EMBALAGEM),playmi,Play&Drive,+3 anos,110A x 230C x 115L,143,
7001,BOLICHE,playmi,Play&Drive,+3 anos,270A x 210C x 210L,145,
8401,ALVO CERTO,playmi,Play&Drive,+14 anos,364A x 350C x 30L,146,
0209,BALDICO DE PRAIA,playmi,Play&Drive,+18 meses,155A x 165C x 165L,147,
0205,BALDÃO DE PRAIA,playmi,Play&Drive,+18 meses,205A x 200C x 200L,147,
1052,DINO PRAIA,playmi,Play&Drive,+18 meses,200A x 327C x 186L,147,
3057,TÓPI BOMBEIRINHO,topi,,+18 meses,235A x350C x 210L,149,
3058,TÓPI ESCOLAR,topi,,+18 meses,235A x350C x 210L,149,
3059,TÓPI SABIDINHO PLUS,topi,,+18 meses,235A x350C x 210L,149,
4030,TÓPI BOLOFANTE COM FORMAS GEOMÉTRICAS,topi,,+18 meses,255A x 300C x 260L,150,
